server=node5501 client=node5502 rail=mlx5_10 size=8388608
perftest: Version: 6.29
########## GPU unidirectional, -q 1 ##########
 8388608    2000             148.38             148.38 		     0.002211
########## GPU unidirectional, -q 2 ##########
 8388608    4000             153.55             153.54 		     0.002288
########## GPU unidirectional, -q 4 ##########
 8388608    8000             154.82             154.82 		     0.002307
########## GPU unidirectional, -q 8 ##########
 8388608    16000            154.85             154.85 		     0.002307
########## GPU unidirectional, -q 16 ##########
 8388608    32000            131.75             131.75 		     0.001963
########## GPU bidirectional,  -q 1 ##########
 8388608    2000             229.23             229.22 		     0.003416
########## GPU bidirectional,  -q 2 ##########
 8388608    4000             233.77             233.77 		     0.003484
########## GPU bidirectional,  -q 4 ##########
 8388608    8000             233.28             233.28 		     0.003476
########## GPU bidirectional,  -q 8 ##########
 8388608    16000            209.93             209.91 		     0.003128
########## GPU bidirectional,  -q 16 ##########
 8388608    32000            198.16             198.16 		     0.002953
########## HOST unidirectional, -q 1 (control) ##########
########## host uni q1 ##########
 8388608    2000             380.10             380.10 		     0.005664
